Indo,Jepang,Kanji,Keterangan
Saya,Watashi,私 (わたし）,Kata Benda
Kamu,Kimi,君 (きみ）,Kata Benda
Dia,Anata,あなた,Kata Benda
Orang,Hito,人 (ひと),Kata Benda
Keluarga,Kazoku,家族 (かぞく) ,Kata Benda
Orang Tua,Ryoushin,両親 (りょうしん),Kata Benda
Saudara,Kyoudai,兄弟 (きょうだい) ,Kata Benda
Ayah (Saya),Chichi,父 (ちち),Kata Benda
Ayah (Orang Lain),Otousan,お父さん (おとうさん),Kata Benda
Ibu (Saya),Haha,母 (はは),Kata Benda
Ibu (Orang Lain),Okaasan,お母さん (おかあさん),Kata Benda
Kakak Laki-laki (Saya),Ani,兄 (あに) ,Kata Benda
Kakak Laki-laki (Orang Lain),Oniisan,お兄さん (おにいさん),Kata Benda
Kakak Perempuan (Saya),Ane,姉 (あね) ,Kata Benda
Kakak Perempuan (Orang Lain),Oneesan,お姉さん (おねえさん) ,Kata Benda
Adik Laki-laki (Saya),Otouto,弟 (おとうと),Kata Benda
Adik Laki-laki (Orang Lain),Otoutosan,弟さん (おとうとさん),Kata Benda
Adik Perempuan (Saya),Imouto,妹 (いもうと),Kata Benda
Adik Perempuan (Orang Lain),Imoutosan,妹さん (いもうとさん),Kata Benda
Kakek (Saya),Sofu,祖父 (そふ),Kata Benda
Kakek (Orang Lain),Ojiisan,お祖父さん (おじいさん),Kata Benda
Nenek (Saya),Sobo,祖母 (そぼ),Kata Benda
Nenek (Orang Lain),Obaasan,お祖母さん (おばあさん),Kata Benda
Suami (Saya),Otto,夫 (おっと),Kata Benda
Suami (Orang Lain),Goshujin,主人 (ごしゅじん),Kata Benda
Istri (Saya),Tsuma,妻 (つま),Kata Benda
Istri (Orang Lain),Okusan,奥さん (おくさん),Kata Benda
Anak,Kodomo,子供 (こども) ,Kata Benda
Anak (Orang Lain),Okosan,おこさん ,Kata Benda
Anak Laki-laki,Musuko,息子 (むすこ),Kata Benda
Anak Perempuan,Musume,娘 (むすめ),Kata Benda
Paman (Saya),Oji,叔父 (おじ),Kata Benda
Paman (Orang Lain),Ojisan,叔父さん (おじさん),Kata Benda
Bibi (Saya),Oba,叔母 (おば),Kata Benda
Bibi (Orang Lain),Obasan,叔母さん (おばさん),Kata Benda
Sepupu (Saya),Itoko,従兄弟 (いとこ),Kata Benda
Sepupu (Orang Lain),Itokosan,従兄弟さん (いとこさん),Kata Benda
Cucu,Mago,孫 (まご),Kata Benda
Bayi,Akachan,赤ちゃん (あかちゃん),Kata Benda
Sanak Keluarga,Shinseki,親戚 (しんせき),Kata Benda
Kakak Kelas,Senpai,先輩 (せんぱい),Kata Benda
Nol,Rei,零 (れい),Kata Benda
Satu,Ichi,一 (いち）,Kata Benda
Dua,Ni,二 (に),Kata Benda
Tiga,San,三 (さん),Kata Benda
Empat,Shi,四 (し),Kata Benda
Lima,Go,五 (ご),Kata Benda
Enam,Roku,六 (ろく）,Kata Benda
Tujuh,Nana,七 (なな),Kata Benda
Delapan,Hachi,八 (はち),Kata Benda
Sembilan,Kyu,九 (きゅう）,Kata Benda
Sepuluh,Juu,十 (じゅう),Kata Benda
